Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
4.140568017959595	0	-0.43710944	0.08427604	-0.28531256	-0.62254745	21.0	0.0	-0.020814737	-0.020814737	-0.016497051	-0.016497051	1008	1008
5.2057273387908936	1	-0.40931764	0.08911173	-0.21988639	-0.6063711	21.0	0.0	-0.019491317	-0.019491317	-0.014081657	-0.014081657	1008	2016
5.955942630767822	2	-0.42418638	0.0802326	-0.22278917	-0.5906233	21.0	0.0	-0.020199351	-0.020199351	-0.014711208	-0.014711208	1008	3024
6.760373115539551	3	-0.41874647	0.088697195	-0.2861997	-0.6165167	21.0	0.0	-0.019940307	-0.019940307	-0.014136975	-0.014136975	1008	4032
7.615795612335205	4	-0.42289868	0.07603989	-0.25974292	-0.62069523	21.0	0.0	-0.020138033	-0.020138033	-0.014051275	-0.014051275	1008	5040
8.47922945022583	5	-0.41420522	0.08073946	-0.17490394	-0.57711726	21.0	0.0	-0.019724058	-0.019724058	-0.012979148	-0.012979148	1008	6048
9.351295709609985	6	-0.43998718	0.09546115	-0.23431984	-0.6641158	21.0	0.0	-0.02095177	-0.02095177	-0.013646611	-0.013646611	1008	7056
10.273300170898438	7	-0.41335383	0.083106406	-0.22941925	-0.59172636	21.0	0.0	-0.019683516	-0.019683516	-0.011603612	-0.011603612	1008	8064
11.228267431259155	8	-0.4240931	0.08606151	-0.2536151	-0.58096385	21.0	0.0	-0.020194909	-0.020194909	-0.0121768955	-0.0121768955	1008	9072
12.236571788787842	9	-0.41117096	0.09657817	-0.2623041	-0.67175674	21.0	0.0	-0.019579565	-0.019579565	-0.011640259	-0.011640259	1008	10080
13.299717426300049	10	-0.47037956	0.09639499	-0.27605706	-0.67933655	21.0	0.0	-0.022399025	-0.022399025	-0.010981217	-0.010981217	1008	11088
14.386179447174072	11	-0.43971607	0.11554331	-0.14864409	-0.81098926	21.0	0.0	-0.02093886	-0.02093886	-0.010635724	-0.010635724	1008	12096
