,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-161.9358727991689,35.233959936003195,-210.15641780962062,-67.16968340474116,,
1,0,-78.76420804244394,87.7493827367807,-210.15641780962062,45.68967374952929,4.9032487869262695,0.13157054781913757
2,1,-26.73625245464848,107.00206755671519,-210.15641780962062,149.69414635256155,0.19481350481510162,0.08863702416419983
3,2,9.977678757956992,113.77950391820288,-210.15641780962062,196.43842061909913,0.1161159873008728,0.06788697838783264
4,3,40.151029172820465,119.70883002104816,-210.15641780962062,220.42792319977082,0.09172587096691132,0.057583287358284
5,4,70.44813183948594,129.7137300227844,-210.15641780962062,284.0408413721524,0.06838667392730713,0.0499199740588665
6,5,96.27659906263055,136.582129193982,-210.15641780962062,314.9997329488957,0.07675352692604065,0.0451551154255867
7,6,123.11115192080251,146.94466044233752,-210.15641780962062,380.6133956510227,0.07044333964586258,0.06415203958749771
8,7,146.52779909960194,153.87450933061237,-210.15641780962062,387.49047097281067,0.04613474756479263,0.03381584584712982
9,8,161.97065846961118,153.892064599823,-210.15641780962062,387.49047097281067,0.04216138646006584,0.036858104169368744
10,9,177.80842063312457,156.01726560976087,-210.15641780962062,447.97308477167854,0.04068475216627121,0.03924679011106491
11,10,190.60233366447318,155.62354250764847,-210.15641780962062,447.97308477167854,0.04652181267738342,0.03290897235274315
