,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-142.47216252659524,18.421513175427332,-179.5896070446494,-122.45587406645578,,
1,0,-95.66127321310617,51.64852852352341,-179.5896070446494,-8.575575712809272,4.633483409881592,0.13326551020145416
2,1,-67.25433383818935,59.08381112183749,-179.5896070446494,25.09431004951316,0.17195311188697815,0.10030616819858551
3,2,-33.63357251257023,79.06940788057652,-179.5896070446494,148.1815903882433,0.10163836926221848,0.05637586861848831
4,3,-15.97040778571814,79.37280267737661,-179.5896070446494,148.1815903882433,0.07080987840890884,0.08344663679599762
5,4,-2.7020477153746323,79.01473306884277,-179.5896070446494,148.1815903882433,0.055411193519830704,0.05234823003411293
6,5,10.139697792784537,80.24607179715741,-179.5896070446494,148.1815903882433,0.0497523732483387,0.03854251280426979
7,6,18.297785024484604,78.5157283292324,-179.5896070446494,148.1815903882433,0.03692498803138733,0.042712561786174774
8,7,24.586327038832096,76.49965420312866,-179.5896070446494,148.1815903882433,0.03563672676682472,0.04820664972066879
9,8,32.051568066299936,76.6414050747915,-179.5896070446494,155.02913187706383,0.029486261308193207,0.030733494088053703
10,9,39.39189154707595,76.79288426918637,-179.5896070446494,155.02913187706383,0.030314836651086807,0.027505528181791306
11,10,45.494966381268505,76.67708602866696,-179.5896070446494,155.02913187706383,0.02308555133640766,0.025468159466981888
