,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-152.59537250332642,45.64381809259804,-227.49631203958404,-78.6680734214527,,
1,0,-88.24098743962193,74.98158405576196,-227.49631203958404,13.208999204783305,4.5351667404174805,0.15508079528808594
2,1,-32.98939102567474,99.83334608749796,-227.49631203958404,111.68313937278738,0.2815636396408081,0.10813222080469131
3,2,8.244975786902767,112.91976233679156,-227.49631203958404,161.19430105599744,0.12549914419651031,0.0629735216498375
4,3,44.29743618316002,125.66089615833599,-227.49631203958404,255.01983399579302,0.10326645523309708,0.046304669231176376
5,4,80.65869806829117,141.54409740857048,-227.49631203958404,326.57459900237967,0.0690416544675827,0.05764961242675781
6,5,106.6312744893712,146.51582593181615,-227.49631203958404,326.57459900237967,0.0751202180981636,0.04654887318611145
7,6,128.81801674980937,149.65036717690123,-227.49631203958404,340.4981215977258,0.06266175955533981,0.04309878125786781
8,7,147.5765169658213,151.3774437000625,-227.49631203958404,380.9136248343574,0.05459919944405556,0.03792797029018402
9,8,161.73447641565014,149.98206723551428,-227.49631203958404,380.9136248343574,0.05196061730384827,0.04019608721137047
10,9,176.02686498615876,150.15203856736716,-227.49631203958404,380.9136248343574,0.0448346771299839,0.029782610014081
11,10,188.0368192092302,149.64196074861675,-227.49631203958404,390.05265333604723,0.035230353474617004,0.03170802816748619
