,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-164.96714413772352,34.90180318795714,-234.89992368782208,-117.27197007526522,,
1,0,-85.69185215398986,84.7297587698574,-234.89992368782208,35.0546833954568,4.853515625,0.1487346887588501
2,1,-4.478204539990199,136.49707445916948,-234.89992368782208,229.27541972916885,0.19047322869300842,0.12019699811935425
3,2,42.9961473200176,145.28581277468936,-234.89992368782208,248.14869526796386,0.1467074304819107,0.10167449712753296
4,3,81.87915208375706,151.99416568796124,-234.89992368782208,282.6082842805448,0.09950684010982513,0.0708041787147522
5,4,108.32176413860311,151.350913999914,-234.89992368782208,293.6558751981677,0.09413650631904602,0.05627723038196564
6,5,129.8101494274647,151.30732531266835,-234.89992368782208,347.6399659844276,0.05376534163951874,0.059110622853040695
7,6,146.64641190003294,148.84296754470995,-234.89992368782208,347.6399659844276,0.060824040323495865,0.04652779921889305
8,7,165.23926903287511,150.67368935370914,-234.89992368782208,376.1948008075118,0.04794929549098015,0.039859093725681305
9,8,174.70059276550063,146.3105212393194,-234.89992368782208,376.1948008075118,0.05391819030046463,0.03884861245751381
10,9,190.6776625508514,149.60561431851818,-234.89992368782208,462.5245140955414,0.04519478976726532,0.03795524314045906
11,10,201.18910863604876,147.7835581059989,-234.89992368782208,462.5245140955414,0.03453889861702919,0.03132295608520508
