Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
1568.449747800827	24	-15.427015	16.7637	38.451393	-70.64259	151.0	0.0	-0.10216566	-0.10216566	-0.10216467	-0.10216467	-0.6931635	0.0057201087	0.0018246255	0.0008842434	0.693346	30049	751225
1630.8341982364655	25	-13.68821	15.710363	21.69839	-74.11829	151.0	0.0	-0.09065038	-0.09065038	-0.09065064	-0.09065064	-0.69328266	0.0020065403	0.00020324465	4.625514e-05	0.69330287	30049	781274
1693.0478749275208	26	-9.81295	15.349004	26.384228	-66.706665	151.0	0.0	-0.06498643	-0.06498643	-0.06498697	-0.06498697	-0.69285595	0.0034613584	5.5186698e-05	2.7492162e-05	0.69286156	30049	811323
1755.503960609436	27	-7.6669836	15.231554	34.89756	-53.58525	151.0	0.0	-0.05077473	-0.05077473	-0.05077413	-0.05077413	-0.6930764	0.0029910782	0.0008085732	0.00027860253	0.6931573	30049	841372
1817.8016726970673	28	-5.3215675	15.902923	34.530983	-59.812485	151.0	0.0	-0.03524217	-0.03524217	-0.035242822	-0.035242822	-0.69271886	0.005673378	0.0022987612	0.0008588582	0.6929488	30049	871421
1880.268780708313	29	0.849949	14.56812	34.16291	-35.416954	151.0	0.0	0.0056287996	0.0056287996	0.005629141	0.005629141	-0.69265616	0.005683473	0.00013490986	4.8413778e-05	0.6926698	30049	901470
1942.3416531085968	30	2.7497013	15.280658	45.121433	-42.196445	151.0	0.0	0.018209942	0.018209942	0.018210527	0.018210527	-0.69267297	0.0054413974	0.00020252222	4.5305904e-05	0.6926931	30049	931519
2004.6478810310364	31	9.263802	15.981827	51.181366	-45.219933	151.0	0.0	0.06134968	0.06134968	0.061349478	0.061349478	-0.69329953	0.004824955	0.00070756394	0.00020195	0.6933702	30049	961568
2066.9841582775116	32	13.3837595	22.387257	54.601635	-69.930084	151.0	0.0	0.08863416	0.08863416	0.08863544	0.08863544	-0.6931644	0.00454563	0.00024826385	4.8806247e-05	0.6931893	30049	991617
2129.132917881012	33	16.944551	22.940825	59.878143	-50.747192	151.0	0.0	0.11221558	0.11221558	0.11221558	0.11221558	-0.6931456	0.0017402951	0.00013881852	7.1675735e-05	0.6931594	30049	1021666
2191.394304037094	34	16.970266	22.119022	54.63286	-63.99871	151.0	0.0	0.112385854	0.112385854	0.11238609	0.11238609	-0.69289875	0.0056731896	0.00093646545	0.00012923087	0.6929923	30049	1051715
2253.328152656555	35	16.829077	22.09511	64.73015	-63.838318	151.0	0.0	0.11145085	0.11145085	0.11145027	0.11145027	-0.6936144	0.007445215	0.0012768933	0.000601553	0.69374216	30049	1081764
2316.3691823482513	36	21.120314	21.316385	78.43915	-53.04516	151.0	0.0	0.13986963	0.13986963	0.1398691	0.1398691	-0.6931557	0.0010467748	0.0005621284	0.00012234866	0.6932119	30049	1111813
2378.266989469528	37	31.07284	22.802275	72.43309	-44.33657	151.0	0.0	0.2057804	0.2057804	0.20578071	0.20578071	-0.6931468	0.001169568	0.0005127862	0.00018083407	0.693198	30049	1141862
2440.0057339668274	38	40.599407	21.631304	87.17819	-22.16201	151.0	0.0	0.26887026	0.26887026	0.26887012	0.26887012	-0.69319683	0.0040146424	0.00049423677	0.0002115655	0.6932461	30049	1171911
2501.4405155181885	39	44.236683	21.52081	88.26252	-32.815964	151.0	0.0	0.2929581	0.2929581	0.29295912	0.29295912	-0.6932194	0.0039857496	0.001028352	0.0003174763	0.69332236	30049	1201960
2562.8141531944275	40	52.48545	18.056774	86.43494	-13.922146	151.0	0.0	0.34758577	0.34758577	0.34758586	0.34758586	-0.6930779	0.0047270097	0.00080756284	0.00028449672	0.6931587	30049	1232009
2623.9388303756714	41	50.74414	21.89546	96.269	-50.527424	151.0	0.0	0.3360539	0.3360539	0.33605382	0.33605382	-0.6917759	0.012209357	0.0023574433	0.00053520885	0.6920118	30049	1262058
2686.682794570923	42	52.85761	18.404448	90.038605	-50.88513	151.0	0.0	0.35005042	0.35005042	0.3500501	0.3500501	-0.69292337	0.006954321	0.0012068143	0.0004497114	0.6930441	30049	1292107
2750.224720478058	43	60.5668	15.608157	95.161224	-3.4384766	151.0	0.0	0.40110466	0.40110466	0.40110484	0.40110484	-0.6924129	0.008433131	0.0014739796	0.000410815	0.6925603	30049	1322156
2815.2640302181244	44	65.32204	23.192507	108.16339	-29.880436	151.0	0.0	0.4325963	0.4325963	0.4325964	0.4325964	-0.6929851	0.008787363	0.02502387	0.008821843	0.6954875	30049	1352205
2877.876406431198	45	79.23113	25.429026	124.79236	-27.701687	151.0	0.0	0.5247095	0.5247095	0.5247099	0.5247099	-0.6931542	0.0019083137	0.00022998893	0.00010705556	0.6931773	30049	1382254
2941.6379959583282	46	80.57699	24.352549	120.13245	1.7961092	151.0	0.0	0.5336224	0.5336224	0.5336221	0.5336221	-0.69302547	0.0043844255	0.0005281548	0.00029330805	0.6930783	30049	1412303
3003.0224936008453	47	78.97238	26.044088	131.38147	-14.108564	151.0	0.0	0.52299595	0.52299595	0.5229959	0.5229959	-0.6936343	0.005517896	0.000121287885	2.3413562e-05	0.69364643	30049	1442352
3066.162431716919	48	90.75866	24.288027	132.28802	-14.355398	151.0	0.0	0.60105073	0.60105073	0.6010515	0.6010515	-0.6931622	0.005472512	5.187388e-05	2.6306347e-05	0.6931673	30049	1472401
