,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-155.91082394036064,27.74234955327192,-222.75532387666982,-106.51265581216055,,
1,0,-78.66511424776635,81.07624037413514,-222.75532387666982,35.49925085120173,4.550937652587891,0.15150584280490875
2,1,-20.872141008562167,106.08113367913444,-222.75532387666982,126.24768493917044,0.18578651547431946,0.08929165452718735
3,2,17.901334960075474,114.09091674282254,-222.75532387666982,162.61352152085016,0.11994519829750061,0.08490770310163498
4,3,56.837439282940494,129.74078254865205,-222.75532387666982,295.171954968833,0.0734836757183075,0.04155858978629112
5,4,93.28224533948563,145.03284346374673,-222.75532387666982,372.1709639564798,0.07668112218379974,0.06008872762322426
6,5,119.53347458207666,149.7613915855714,-222.75532387666982,372.1709639564798,0.05305695906281471,0.06189676374197006
7,6,136.4513212885833,147.3259562245212,-222.75532387666982,372.1709639564798,0.04304736852645874,0.054131053388118744
8,7,153.48082969424576,147.9904877527792,-222.75532387666982,378.60103069479476,0.04471703618764877,0.03964002802968025
9,8,167.24297408568754,146.739552626351,-222.75532387666982,378.60103069479476,0.04406895488500595,0.039230480790138245
10,9,178.6289151765391,144.79232769034047,-222.75532387666982,378.60103069479476,0.03376848250627518,0.03682594746351242
11,10,191.42915074332424,145.30458653801176,-222.75532387666982,389.4278922687054,0.033332459628582,0.037434011697769165
