Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.2691609859466553	0	-0.41354847	0.07194539	-0.26351318	-0.61326927	21.0	0.0	-0.019692782	-0.019692782	-0.019692782	-0.019692782	1008	1008
3.2589633464813232	1	-0.40485892	0.08259603	-0.29320493	-0.6575249	21.0	0.0	-0.019278996	-0.019278996	-0.019278996	-0.019278996	1008	2016
3.966549873352051	2	-0.4197538	0.070340835	-0.29812747	-0.54269326	21.0	0.0	-0.019988276	-0.019988276	-0.019988276	-0.019988276	1008	3024
4.635568141937256	3	-0.43885252	0.08856198	-0.29661092	-0.65147287	21.0	0.0	-0.020897739	-0.020897739	-0.020897739	-0.020897739	1008	4032
5.325659275054932	4	-0.41270325	0.084880725	-0.26198727	-0.632418	21.0	0.0	-0.019652534	-0.019652534	-0.019652534	-0.019652534	1008	5040
6.024071931838989	5	-0.41126046	0.093506455	-0.26369983	-0.60276854	21.0	0.0	-0.01958383	-0.01958383	-0.01958383	-0.01958383	1008	6048
6.711951017379761	6	-0.4016761	0.07883605	-0.22610977	-0.57674056	21.0	0.0	-0.019127434	-0.019127434	-0.019127434	-0.019127434	1008	7056
7.40544056892395	7	-0.4086568	0.102075614	-0.16342811	-0.7325889	21.0	0.0	-0.019459847	-0.019459847	-0.019459847	-0.019459847	1008	8064
8.094462394714355	8	-0.4186151	0.10660704	-0.21595857	-0.6992402	21.0	0.0	-0.019934053	-0.019934053	-0.019934053	-0.019934053	1008	9072
8.75377869606018	9	-0.4462173	0.09446927	-0.25080866	-0.6842366	21.0	0.0	-0.021248443	-0.021248443	-0.021248443	-0.021248443	1008	10080
9.426849842071533	10	-0.45361874	0.10062437	-0.17654037	-0.66283196	21.0	0.0	-0.02160089	-0.02160089	-0.02160089	-0.02160089	1008	11088
10.102296590805054	11	-0.44960943	0.1003031	-0.27467668	-0.69961303	21.0	0.0	-0.021409974	-0.021409974	-0.021409974	-0.021409974	1008	12096
10.778517484664917	12	0.334054	5.684893	39.301563	-0.7105399	21.0	0.0	0.015907332	0.015907332	0.015907332	0.015907332	1008	13104
11.463925123214722	13	0.32961658	3.9684858	19.389153	-0.7192464	21.0	0.0	0.015696034	0.015696034	0.015696034	0.015696034	1008	14112
12.160643339157104	14	2.814089	9.143535	39.209385	-0.78291047	21.0	0.0	0.13400425	0.13400425	0.13400425	0.13400425	1008	15120
