Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
25.096956729888916	0	-187.65828	54.923985	-26.068214	-331.72296	151.0	0.0	-1.24277	-1.24277	-1.2427751	-1.2427751	-0.6938998	0.03628685	0.0017950579	0.00064655754	0.69407934	30049	30049
48.9101824760437	1	-111.63292	41.432037	-20.318186	-227.57846	151.0	0.0	-0.7392909	-0.7392909	-0.7392877	-0.7392877	-0.6929036	0.04119488	0.0019772816	0.001003327	0.69310135	30049	60098
71.202068567276	2	-88.114204	38.17604	18.485489	-176.29736	151.0	0.0	-0.58353776	-0.58353776	-0.5835481	-0.5835481	-0.69607997	0.037213244	0.00091894175	0.00061209867	0.6961719	30049	90147
93.31027221679688	3	-84.13175	32.719803	1.1598091	-188.18341	151.0	0.0	-0.5571639	-0.5571639	-0.5571751	-0.5571751	-0.6936886	0.038342636	0.0042461683	0.005443106	0.69411314	30049	120196
115.88065671920776	4	-75.38281	28.220144	11.163769	-162.14783	151.0	0.0	-0.49922392	-0.49922392	-0.49916637	-0.49916637	-0.6656334	0.1410163	0.12670115	0.13431825	0.6783035	30049	150245
139.07990431785583	5	-68.30788	26.876942	35.785156	-172.64507	151.0	0.0	-0.45237005	-0.45237005	-0.4523727	-0.4523727	-0.6895017	0.1171956	0.057294317	0.056230176	0.6952311	30049	180294
161.83004069328308	6	-67.41185	28.466778	20.637783	-152.58829	151.0	0.0	-0.44643608	-0.44643608	-0.4464369	-0.4464369	-0.68493897	0.07148423	0.029220782	0.034105763	0.68786097	30049	210343
184.38940620422363	7	-57.88149	29.021238	10.944799	-158.13922	151.0	0.0	-0.3833211	-0.3833211	-0.38333103	-0.38333103	-0.69221246	0.042738058	0.008968588	0.011488448	0.69310933	30049	240392
207.59612274169922	8	-53.095478	26.273142	11.087589	-134.3825	151.0	0.0	-0.35162565	-0.35162565	-0.35161436	-0.35161436	-0.68826973	0.035620514	0.0054265037	0.0072963154	0.6888124	30049	270441
230.3473072052002	9	-49.785187	26.513937	8.949441	-172.72781	151.0	0.0	-0.32970318	-0.32970318	-0.3297039	-0.3297039	-0.69183457	0.054280095	0.007716274	0.008992962	0.6926062	30049	300490
253.49414682388306	10	-44.57044	25.88157	33.224705	-132.18979	151.0	0.0	-0.2951685	-0.2951685	-0.2951569	-0.2951569	-0.6892169	0.039056927	0.0021506452	0.001506919	0.6894319	30049	330539
276.23267221450806	11	-46.899036	23.841301	23.16969	-109.58687	151.0	0.0	-0.31058964	-0.31058964	-0.3105782	-0.3105782	-0.69489187	0.029234335	0.0017497763	0.0018329017	0.6950668	30049	360588
298.8515431880951	12	-39.09042	23.027145	37.71743	-103.39288	151.0	0.0	-0.25887695	-0.25887695	-0.25888526	-0.25888526	-0.6922874	0.03228748	0.0023678127	0.0023518286	0.6925241	30049	390637
321.5483567714691	13	-34.885433	24.80519	33.631287	-115.37074	151.0	0.0	-0.23102939	-0.23102939	-0.23103683	-0.23103683	-0.6949662	0.041559536	0.009324177	0.008197383	0.6958986	30049	420686
344.0512127876282	14	-34.252533	22.687014	23.830362	-118.38378	151.0	0.0	-0.22683796	-0.22683796	-0.22684516	-0.22684516	-0.6910786	0.031426463	0.0033764131	0.0027943752	0.69141626	30049	450735
366.5848705768585	15	-32.970024	22.742407	19.592487	-162.22507	151.0	0.0	-0.21834454	-0.21834454	-0.2183256	-0.2183256	-0.6936214	0.03699125	0.005527546	0.005205445	0.6941741	30049	480784
389.26535153388977	16	-28.433474	18.290648	28.771475	-73.24562	151.0	0.0	-0.18830116	-0.18830116	-0.18830879	-0.18830879	-0.69395024	0.041361876	0.009021154	0.009198433	0.69485235	30049	510833
411.8047471046448	17	-27.20083	19.425785	23.997334	-106.71896	151.0	0.0	-0.18013795	-0.18013795	-0.1800704	-0.1800704	-0.6846534	0.0828687	0.03555789	0.030698182	0.6882092	30049	540882
434.4661650657654	18	-28.864555	17.079977	10.590185	-78.13117	151.0	0.0	-0.19115601	-0.19115601	-0.1911036	-0.1911036	-0.65318966	0.20880803	0.1814611	0.19510521	0.67133576	30049	570931
456.91498041152954	19	-28.772034	19.507816	35.81052	-96.191864	151.0	0.0	-0.1905433	-0.1905433	-0.19030394	-0.19030394	-0.58710825	0.29269007	0.40334445	0.2958893	0.6274427	30049	600980
479.4748504161835	20	-25.782465	16.426987	9.146978	-75.416016	151.0	0.0	-0.17074479	-0.17074479	-0.17043214	-0.17043214	-0.6432581	0.38866386	0.53768283	0.30377033	0.6970264	30049	631029
